,UID,versionId,beginLifeSpanVersion,spatialUnitIdentifier,spatialUnitIdentifierScheme,observedProperty,phenomenonTimePeriod,resultObservedVolume,resultObservationStatus,remarks,waterbaseObservationStatus,waterbaseRemarks
800,811,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,AQUI,2011,18184.0,,,A,
801,812,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,EVAP_TSP,1901,21835.1684882232,,,U,U: The timeseries contains possible outliers (OUTLIER_STDEV)
802,813,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,EVAP_TSP,1902,17375.4604943534,,,U,U: The timeseries contains possible outliers (OUTLIER_STDEV)
803,814,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,EVAP_TSP,1903,15871.90400344,,,U,U: The timeseries contains possible outliers (OUTLIER_STDEV)
804,815,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,EVAP_TSP,1904,19477.0782067879,,,U,U: The timeseries contains possible outliers (OUTLIER_STDEV)
805,816,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,EVAP_TSP,1905,20474.4422520634,,,U,U: The timeseries contains possible outliers (OUTLIER_STDEV)
806,817,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,EVAP_TSP,1906,10781.4303829141,,,U,U: Possible outlier - fails in the standard deviation limit test (OUTLIER_STDEV)
807,818,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,EVAP_TSP,1907,17886.3418050397,,,U,U: The timeseries contains possible outliers (OUTLIER_STDEV)
808,819,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,EVAP_TSP,1908,20714.3297383863,,,U,U: The timeseries contains possible outliers (OUTLIER_STDEV)
809,820,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_RenewableFreshwaterResources/0.html,2015-11-30,CH,countryCode,EVAP_TSP,1909,16418.4646588906,,,U,U: The timeseries contains possible outliers (OUTLIER_STDEV)
