"TIME","RBD","UNIT","WW_TPAR","WW_TP","Value","Flag and Footnotes"
"2000","Ohre and lower Labe / Elbe (CZ)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Ohre and lower Labe / Elbe (CZ)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Ohre and lower Labe / Elbe (CZ)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Odra / Oder - RBD (CZ)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Odra / Oder - RBD (CZ)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Odra / Oder - RBD (CZ)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Germany (until 1990 former territory of the FRG)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Germany (until 1990 former territory of the FRG)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Germany (until 1990 former territory of the FRG)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Danube - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Danube - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Danube - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Rhine - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Rhine - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Rhine - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Lake Constance/Alpine Rhine","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Lake Constance/Alpine Rhine","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Lake Constance/Alpine Rhine","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Hochrhein","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Hochrhein","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Hochrhein","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Oberrhein","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Oberrhein","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Oberrhein","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Neckar","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Neckar","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Neckar","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Main","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Main","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Main","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
