"TIME","GEO","UNIT","WW_TP","Value","Flag and Footnotes"
"2009","Pays de la Loire (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Bretagne (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Poitou-Charentes (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Aquitaine (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Midi-Pyrénées (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Limousin (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Rhône-Alpes (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Auvergne (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Languedoc-Roussillon (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Provence-Alpes-Côte d'Azur (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Corse (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Guadeloupe (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2009","Martinique (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2009","Guyane (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2009","Réunion (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2009","Croatia","Thousand","Urban wastewater collecting system",":",""
"2009","Jadranska Hrvatska","Thousand","Urban wastewater collecting system",":",""
"2009","Kontinentalna Hrvatska","Thousand","Urban wastewater collecting system",":",""
"2009","Cyprus","Thousand","Urban wastewater collecting system",":",""
"2009","Kypros","Thousand","Urban wastewater collecting system",":",""
"2009","Latvia","Thousand","Urban wastewater collecting system",":",""
"2009","Latvija","Thousand","Urban wastewater collecting system",":",""
"2009","Lithuania","Thousand","Urban wastewater collecting system",":",""
"2009","Lietuva (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Luxembourg","Thousand","Urban wastewater collecting system",":",""
"2009","Luxembourg","Thousand","Urban wastewater collecting system",":",""
"2009","Közép-Magyarország (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2009","Közép-Dunántúl","Thousand","Urban wastewater collecting system",":",""
