"TIME","RBD","WAT_SRC","WAT_PROC","UNIT","Value","Flag and Footnotes"
"2011","Upper Rhine and Ill","Fresh surface water","Total gross abstraction","Million cubic metres","1,861.48",""
"2011","Rhone and the mediterranean coastal rivers - RBD (FR)","Fresh surface water","Total gross abstraction","Million cubic metres","13,997.864",""
"2011","Coastal streams of the Cote d'Azur","Fresh surface water","Total gross abstraction","Million cubic metres","389.015",""
"2011","Languedoc Roussillon coastals","Fresh surface water","Total gross abstraction","Million cubic metres","380.9",""
"2011","Doubs","Fresh surface water","Total gross abstraction","Million cubic metres","50.694",""
"2011","Durance","Fresh surface water","Total gross abstraction","Million cubic metres","694.68",""
"2011","Ardèche-Gard","Fresh surface water","Total gross abstraction","Million cubic metres","652.491",""
"2011","Haut-Rhône","Fresh surface water","Total gross abstraction","Million cubic metres","3,099.269",""
"2011","Isère-Drôme","Fresh surface water","Total gross abstraction","Million cubic metres","4,920.42",""
"2011","Rhône moyen","Fresh surface water","Total gross abstraction","Million cubic metres","3,803.492",""
"2011","Saône","Fresh surface water","Total gross abstraction","Million cubic metres","6.9",""
"2011","Corse - RBD","Fresh surface water","Total gross abstraction","Million cubic metres","84.992",""
"2011","Adour, Garonne, Dordogne, Charente and Charente and Aquitaine coastal streams - RBD","Fresh surface water","Total gross abstraction","Million cubic metres","1,038.041",""
"2011","Adour","Fresh surface water","Total gross abstraction","Million cubic metres","150.577",""
"2011","Charente","Fresh surface water","Total gross abstraction","Million cubic metres","43.022",""
"2011","Charente and Aquitaine coastal streams","Fresh surface water","Total gross abstraction","Million cubic metres","31.304",""
"2011","Dordogne","Fresh surface water","Total gross abstraction","Million cubic metres","85.258",""
"2011","Garonne","Fresh surface water","Total gross abstraction","Million cubic metres","548.664",""
"2011","Lot","Fresh surface water","Total gross abstraction","Million cubic metres","48.313",""
"2011","Tarn-Aveyron","Fresh surface water","Total gross abstraction","Million cubic metres","130.904",""
"2011","Loire, the coastal rivers of Vendée and Bretagne - RBD","Fresh surface water","Total gross abstraction","Million cubic metres","2,524.31",""
"2011","Allier-Upper Loire","Fresh surface water","Total gross abstraction","Million cubic metres","125.694",""
"2011","Lower Loire and coastal rivers of Vendée","Fresh surface water","Total gross abstraction","Million cubic metres","1,244.049",""
"2011","Middle Loire","Fresh surface water","Total gross abstraction","Million cubic metres","678.276",""
