"TIME","RBD","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2011","Belgium","Million cubic metres","Precipitation","24,039.79",""
"2011","Rhine - RBD (BE-Walloon region)","Million cubic metres","Precipitation","705.95",""
"2011","Scheldt/Escaut - RBD (BE-Brussels)","Million cubic metres","Precipitation","132.42",""
"2011","Escaut/Schelde - RBD (BE-Walloon region)","Million cubic metres","Precipitation","2,766.41",""
"2011","Schelde/Escaut - RBD (BE-Flemish region)","Million cubic metres","Precipitation","8,949.76",""
"2011","Meuse/Maas - RBD (BE-Walloon region)","Million cubic metres","Precipitation","10,151.23",""
"2011","Maas/Meuse - RBD (BE-Flemish region)","Million cubic metres","Precipitation","1,262.48",""
"2011","Seine - RBD (BE-Walloon region)","Million cubic metres","Precipitation","71.54",""
"2011","Bulgaria","Million cubic metres","Precipitation",":",""
"2011","Danube - RBD (BG)","Million cubic metres","Precipitation",":",""
"2011","Black Sea - RBD","Million cubic metres","Precipitation",":",""
"2011","East Aegean - RBD (BG)","Million cubic metres","Precipitation",":",""
"2011","West Aegean - RBD (BG)","Million cubic metres","Precipitation",":",""
"2011","Czech Republic","Million cubic metres","Precipitation","49,157",""
"2011","Danube - RBD (CZ)","Million cubic metres","Precipitation","11,827",""
"2011","Labe / Elbe - RBD (CZ)","Million cubic metres","Precipitation","33,199",""
"2011","Odra / Oder - RBD (CZ)","Million cubic metres","Precipitation","4,131",""
"2011","Germany (until 1990 former territory of the FRG)","Million cubic metres","Precipitation","305,231",""
"2011","Danube - RBD (DE)","Million cubic metres","Precipitation","55,022",""
"2011","Rhine - RBD (DE)","Million cubic metres","Precipitation","86,520",""
"2011","Ems - RBD (DE)","Million cubic metres","Precipitation","11,442",""
"2011","Weser - RBD","Million cubic metres","Precipitation","33,772",""
"2011","Elbe / Labe - RBD (DE)","Million cubic metres","Precipitation","68,025",""
"2011","Oder / Odra - RBD (DE)","Million cubic metres","Precipitation","6,575",""
"2011","Maas / Meuse - RBD (DE)","Million cubic metres","Precipitation","2,965",""
"2011","Eider - RBD","Million cubic metres","Precipitation","4,490",""
"2011","Schlei-Trave - RBD","Million cubic metres","Precipitation","5,344",""
"2011","Warnow-Peene - RBD","Million cubic metres","Precipitation","10,867",""
"2011","Ireland","Million cubic metres","Precipitation","89,439",""
"2011","Western Peloponnese - RBD","Million cubic metres","Precipitation","11,710",""
"2011","Northern Peloponnese - RBD","Million cubic metres","Precipitation","6,388",""
"2011","Eastern Peloponnese - RBD","Million cubic metres","Precipitation","6,915",""
"2011","Spain","Million cubic metres","Precipitation","246,632.6",""
"2011","Miño-Sil - RBD (ES)","Million cubic metres","Precipitation",":",""
"2011","Galician Coast - RBD","Million cubic metres","Precipitation",":",""
"2011","Western Cantabrian RBD","Million cubic metres","Precipitation",":",""
"2011","Eastern Cantabrian RBD","Million cubic metres","Precipitation",":",""
"2011","Duero - RBD (ES)","Million cubic metres","Precipitation",":",""
"2011","Tagus - RBD (ES)","Million cubic metres","Precipitation",":",""
"2011","Guadiana - RBD (ES)","Million cubic metres","Precipitation",":",""
"2011","Guadalquivir - RBD","Million cubic metres","Precipitation",":",""
