"TIME","RBD","WAT_PROC","NACE_R2","UNIT","Value","Flag and Footnotes"
"2000","Danube - RBD (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Upper Vltava / Moldau","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Upper Vltava / Moldau","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Upper Vltava / Moldau","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Upper Vltava / Moldau","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Upper Vltava / Moldau","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Berounka","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Berounka","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Berounka","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Berounka","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Berounka","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Lower Vltava / Moldau","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Lower Vltava / Moldau","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Lower Vltava / Moldau","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Lower Vltava / Moldau","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Lower Vltava / Moldau","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Upper Odra / Oder","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Upper Odra / Oder","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Upper Odra / Oder","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Upper Odra / Oder","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Upper Odra / Oder","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Danube - RBD (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Danube - RBD (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Danube - RBD (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Danube - RBD (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Danube - RBD (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Rhine - RBD (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Rhine - RBD (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Rhine - RBD (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Rhine - RBD (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Rhine - RBD (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Lake Constance/Alpine Rhine","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Lake Constance/Alpine Rhine","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Lake Constance/Alpine Rhine","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Lake Constance/Alpine Rhine","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Lake Constance/Alpine Rhine","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Hochrhein","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Hochrhein","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Hochrhein","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Hochrhein","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Hochrhein","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Oberrhein","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Oberrhein","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Oberrhein","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Oberrhein","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Oberrhein","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Neckar","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Neckar","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Neckar","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Neckar","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Neckar","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Main","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Main","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Main","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Main","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Main","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Moselle-Saar (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Moselle-Saar (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Moselle-Saar (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Moselle-Saar (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Moselle-Saar (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Middle Rhine","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Middle Rhine","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Middle Rhine","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Middle Rhine","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Middle Rhine","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Lower Rhine","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Lower Rhine","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Lower Rhine","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Lower Rhine","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Lower Rhine","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Rhine delta","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Rhine delta","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Rhine delta","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Rhine delta","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Rhine delta","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
