"TIME","RBD","WAT_PROC","NACE_R2","UNIT","Value","Flag and Footnotes"
"2001","Bothnian Sea - RBD (SE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Bothnian Sea - RBD (SE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Bothnian Sea - RBD (SE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","North Baltic Sea - RBD","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","North Baltic Sea - RBD","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","North Baltic Sea - RBD","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","North Baltic Sea - RBD","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","North Baltic Sea - RBD","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","South Baltic Sea - RBD","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","South Baltic Sea - RBD","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","South Baltic Sea - RBD","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","South Baltic Sea - RBD","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","South Baltic Sea - RBD","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Skagerrak and Kattegat - RBD (SE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Skagerrak and Kattegat - RBD (SE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Skagerrak and Kattegat - RBD (SE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Skagerrak and Kattegat - RBD (SE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Skagerrak and Kattegat - RBD (SE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Iceland","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Iceland","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Iceland","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Iceland","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Iceland","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Switzerland","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Switzerland","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Switzerland","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Switzerland","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Switzerland","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Rhine - RBD (CH)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Rhine - RBD (CH)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Rhine - RBD (CH)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Rhine - RBD (CH)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Rhine - RBD (CH)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Rhône - RBD (CH)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Rhône - RBD (CH)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Rhône - RBD (CH)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Rhône - RBD (CH)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Rhône - RBD (CH)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Po - RBD (CH)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Po - RBD (CH)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Po - RBD (CH)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Po - RBD (CH)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Po - RBD (CH)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Danube - RBD (CH)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Danube - RBD (CH)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Danube - RBD (CH)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Danube - RBD (CH)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Danube - RBD (CH)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Serbia","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","9.04",""
"2001","Serbia","Public water supply and self and other supply","Industry and construction","Million cubic metres","2,339.96",""
"2001","Serbia","Public water supply and self and other supply","Services","Million cubic metres","83.92",""
"2001","Serbia","Public water supply and self and other supply","Households","Million cubic metres","353.85",""
"2001","Serbia","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","4,280.36",""
"2001","Turkey","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Turkey","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Turkey","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Turkey","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Turkey","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Belgium","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","49.7","e"
"2002","Belgium","Public water supply and self and other supply","Industry and construction","Million cubic metres","5,678.8","e"
"2002","Belgium","Public water supply and self and other supply","Services","Million cubic metres","473.5","e"
"2002","Belgium","Public water supply and self and other supply","Households","Million cubic metres","398","e"
"2002","Belgium","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","6,600","e"
"2002","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","0",""
"2002","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","Industry and construction","Million cubic metres","4.72",""
"2002","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","Services","Million cubic metres","14.11",""
"2002","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","Households","Million cubic metres","43.75",""
"2002","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","63.5",""
"2002","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Bulgaria","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","157.85",""
"2002","Bulgaria","Public water supply and self and other supply","Industry and construction","Million cubic metres","5,265.28",""
"2002","Bulgaria","Public water supply and self and other supply","Services","Million cubic metres","82.07",""
"2002","Bulgaria","Public water supply and self and other supply","Households","Million cubic metres","255.42",""
"2002","Bulgaria","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","5,760.6",""
"2002","Danube - RBD (BG)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","12.47",""
"2002","Danube - RBD (BG)","Public water supply and self and other supply","Industry and construction","Million cubic metres","4,431.68",""
"2002","Danube - RBD (BG)","Public water supply and self and other supply","Services","Million cubic metres","30.65",""
"2002","Danube - RBD (BG)","Public water supply and self and other supply","Households","Million cubic metres","128.75",""
"2002","Danube - RBD (BG)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","4,603.54",""
"2002","Black Sea - RBD","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","5.68",""
"2002","Black Sea - RBD","Public water supply and self and other supply","Industry and construction","Million cubic metres","457.65",""
"2002","Black Sea - RBD","Public water supply and self and other supply","Services","Million cubic metres","19.63",""
"2002","Black Sea - RBD","Public water supply and self and other supply","Households","Million cubic metres","37.72",""
"2002","Black Sea - RBD","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","520.67",""
"2002","East Aegean - RBD (BG)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","136",""
"2002","East Aegean - RBD (BG)","Public water supply and self and other supply","Industry and construction","Million cubic metres","328.87",""
"2002","East Aegean - RBD (BG)","Public water supply and self and other supply","Services","Million cubic metres","24.4",""
"2002","East Aegean - RBD (BG)","Public water supply and self and other supply","Households","Million cubic metres","68.09",""
"2002","East Aegean - RBD (BG)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","557.36",""
"2002","West Aegean - RBD (BG)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","3.7",""
"2002","West Aegean - RBD (BG)","Public water supply and self and other supply","Industry and construction","Million cubic metres","47.08",""
"2002","West Aegean - RBD (BG)","Public water supply and self and other supply","Services","Million cubic metres","7.39",""
"2002","West Aegean - RBD (BG)","Public water supply and self and other supply","Households","Million cubic metres","20.86",""
"2002","West Aegean - RBD (BG)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","79.03",""
"2002","Czech Republic","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Czech Republic","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Czech Republic","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Czech Republic","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Czech Republic","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Danube - RBD (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Danube - RBD (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Danube - RBD (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Danube - RBD (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Danube - RBD (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Dyje / Thaya","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Dyje / Thaya","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Dyje / Thaya","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Dyje / Thaya","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Dyje / Thaya","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Other tributaries of the Danube","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Other tributaries of the Danube","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Other tributaries of the Danube","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Other tributaries of the Danube","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Other tributaries of the Danube","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Morava / March (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Morava / March (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Morava / March (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Morava / March (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Morava / March (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Upper Vltava / Moldau","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Upper Vltava / Moldau","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Upper Vltava / Moldau","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Upper Vltava / Moldau","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Upper Vltava / Moldau","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Berounka","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Berounka","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Berounka","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Berounka","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Berounka","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Lower Vltava / Moldau","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Lower Vltava / Moldau","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Lower Vltava / Moldau","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Lower Vltava / Moldau","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Lower Vltava / Moldau","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Ohre and lower Labe / Elbe (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Odra / Oder - RBD (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Upper Odra / Oder","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Upper Odra / Oder","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Upper Odra / Oder","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Upper Odra / Oder","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Upper Odra / Oder","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Luzická Nisa and other tributaries of the Odra / Oder","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Germany (until 1990 former territory of the FRG)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Danube - RBD (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Danube - RBD (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Danube - RBD (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Danube - RBD (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Danube - RBD (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Rhine - RBD (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Rhine - RBD (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Rhine - RBD (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Rhine - RBD (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Rhine - RBD (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Lake Constance/Alpine Rhine","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Lake Constance/Alpine Rhine","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Lake Constance/Alpine Rhine","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Lake Constance/Alpine Rhine","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Lake Constance/Alpine Rhine","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Hochrhein","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Hochrhein","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Hochrhein","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Hochrhein","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Hochrhein","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Oberrhein","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Oberrhein","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Oberrhein","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Oberrhein","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Oberrhein","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Neckar","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Neckar","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Neckar","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Neckar","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Neckar","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Main","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Main","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Main","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Main","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Main","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Moselle-Saar (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Moselle-Saar (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Moselle-Saar (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Moselle-Saar (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Moselle-Saar (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Middle Rhine","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Middle Rhine","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Middle Rhine","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Middle Rhine","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Middle Rhine","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Lower Rhine","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Lower Rhine","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Lower Rhine","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Lower Rhine","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Lower Rhine","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Rhine delta","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Rhine delta","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Rhine delta","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Rhine delta","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Rhine delta","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Ems - RBD (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Ems - RBD (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Ems - RBD (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Ems - RBD (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Ems - RBD (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Weser - RBD","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Weser - RBD","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Weser - RBD","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Weser - RBD","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Weser - RBD","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Werra","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Werra","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Werra","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Werra","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Werra","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Fulda-Diemel","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Fulda-Diemel","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Fulda-Diemel","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Fulda-Diemel","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Fulda-Diemel","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Weser","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Weser","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Weser","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Weser","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Weser","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Aller","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Aller","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Aller","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Aller","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Aller","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Leine","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Leine","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2002","Leine","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2002","Leine","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2002","Leine","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2002","Tide-Weser","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2002","Tide-Weser","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
