"TIME","RBD","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2000","Adour, Garonne, Dordogne, Charente and Charente and Aquitaine coastal streams - RBD","Million cubic metres","Precipitation",":",""
"2000","Adour","Million cubic metres","Precipitation",":",""
"2000","Charente","Million cubic metres","Precipitation",":",""
"2000","Charente and Aquitaine coastal streams","Million cubic metres","Precipitation",":",""
"2000","Dordogne","Million cubic metres","Precipitation",":",""
"2000","Garonne","Million cubic metres","Precipitation",":",""
"2000","Lot","Million cubic metres","Precipitation",":",""
"2000","Tarn-Aveyron","Million cubic metres","Precipitation",":",""
"2000","Loire, the coastal rivers of Vendée and Bretagne - RBD","Million cubic metres","Precipitation",":",""
"2000","Allier-Upper Loire","Million cubic metres","Precipitation",":",""
"2000","Lower Loire and coastal rivers of Vendée","Million cubic metres","Precipitation",":",""
"2000","Middle Loire","Million cubic metres","Precipitation",":",""
"2000","Mayenne-Sarthe-Loir","Million cubic metres","Precipitation",":",""
"2000","Vilaine and Brittany coastal streams","Million cubic metres","Precipitation",":",""
"2000","Vienne-Creuse","Million cubic metres","Precipitation",":",""
"2000","Seine and the Normandy coastal streams - RBD (FR)","Million cubic metres","Precipitation",":",""
"2000","Coastal streams of Normandy","Million cubic metres","Precipitation",":",""
"2000","Marne","Million cubic metres","Precipitation",":",""
"2000","Oise","Million cubic metres","Precipitation",":",""
"2000","Seine upstream Paris (FR)","Million cubic metres","Precipitation",":",""
"2000","Seine downstream Paris (FR)","Million cubic metres","Precipitation",":",""
"2000","Croatia","Million cubic metres","Precipitation","53,137",""
"2000","Italy","Million cubic metres","Precipitation",":",""
"2000","Eastern Alps - RBD","Million cubic metres","Precipitation",":",""
"2000","Po - RBD (IT)","Million cubic metres","Precipitation",":",""
"2000","Northern Apennines - RBD","Million cubic metres","Precipitation",":",""
"2000","Serchio - RBD","Million cubic metres","Precipitation",":",""
"2000","Middle Apennines - RBD","Million cubic metres","Precipitation",":",""
"2000","Southern Apennines - RBD","Million cubic metres","Precipitation",":",""
"2000","Sardinia - RBD","Million cubic metres","Precipitation",":",""
"2000","Sicily - RBD","Million cubic metres","Precipitation",":",""
"2000","Cyprus","Million cubic metres","Precipitation","3,152",""
